Unnamed: 0,clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy,silhouette_norm,entropy_norm_clusters,total_score,ari_mean,nmi_mean,ari_norm,nmi_norm,stability_score,exchange_v_measure,sector_v_measure,market_v_measure,region_v_measure
27,2,0.369368611425715,kshape,not_applicable,geometric,7,weekly,0.0245384943432256,0.5349,0.9696867241395202,0.5349,0.75229336206976,0.3763163007924681,0.3018231199431702,0.906014974678213,0.6825464665166799,0.7942807205974465,0.0,0.0,0.0,0.0
36,2,0.2210135170697423,kshape,not_applicable,geometric,7,3day,0.034803939470674,0.6594,0.7556602431462442,0.6594,0.7075301215731221,0.3916894157878223,0.3253454497856051,0.9448387797918147,0.7471116508089864,0.8459752153004005,0.0,0.0,0.0,0.0
54,2,0.3903806323665321,kshape,not_applicable,geometric,10,weekly,0.0255535992550836,0.5349,1.0,0.5349,0.76745,0.2154099146557554,0.2002371908356118,0.4996563298106278,0.4037086864893701,0.45168250814999894,0.0,0.0,0.0,0.0
55,3,0.2579876911112593,kshape,not_applicable,geometric,10,weekly,0.0194149241512064,1.3146,0.809001534809278,0.8294202540450379,0.8192108944271579,0.2681859277779831,0.3047374955122367,0.6329387289047256,0.6905459800416676,0.6617423544731966,0.0,0.0,0.0,0.0
63,2,0.3015248135808552,kshape,not_applicable,geometric,10,3day,0.0327711355619109,0.5349,0.8718109526805811,0.5349,0.7033554763402905,0.3982537031329355,0.315001259774538,0.9614164618473626,0.7187184372585873,0.840067449552975,0.0,0.0,0.0,0.0
81,2,0.3416566079651232,kshape,not_applicable,geometric,14,weekly,0.0304861479768289,0.5349,0.9297076279872,0.5349,0.7323038139936,0.3972095318592282,0.3127295153791622,0.9587794750006575,0.7124828476492687,0.8356311613249632,0.0,0.0,0.0,0.0
82,3,0.2938387724710438,kshape,not_applicable,geometric,14,weekly,0.0195385076727202,1.3672,0.8607225816432142,0.8626071590828966,0.8616648703630554,0.2271177255228331,0.2481907477838246,0.5292236470100176,0.5353338385288366,0.5322787427694271,0.0,0.0,0.0,0.0
83,4,0.2125264673137114,kshape,not_applicable,geometric,14,weekly,0.0164019137018843,1.5414,0.7434162861646281,0.7707,0.757058143082314,0.1925333257773958,0.3080251283185002,0.4418829879377655,0.6995700273806731,0.5707265076592193,0.0,0.0,0.0,0.0
85,6,0.2180272645637195,kshape,not_applicable,geometric,14,weekly,0.0113176550703988,2.0598,0.7513520856273133,0.7968394123417089,0.7740957489845111,0.1743232588969093,0.4061401171586912,0.3958946447888777,0.9688806092294302,0.682387627009154,0.0,0.0,0.0,0.0
90,2,0.3442584619460077,kshape,not_applicable,geometric,14,3day,0.0259229097541002,0.5349,0.9334612277810224,0.5349,0.7341806138905111,0.4135316792924728,0.3240309593661342,1.0,0.7435035764068283,0.8717517882034141,0.0,0.0,0.0,0.0
108,2,0.2711730742585433,kshape,not_applicable,geometric,30,weekly,0.0391371255629384,0.7121,0.8280236059273072,0.7121,0.7700618029636536,0.0175603171250821,0.0531584054507979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2,0.3009944637226156,kshape,not_applicable,geometric,30,3day,0.027425228531012,0.6006,0.8710458362931253,0.6006,0.7358229181465626,0.2566360718590247,0.2159809126080334,0.6037703166848644,0.44692278579382816,0.5253465512393463,0.0,0.0,0.0,0.0
118,3,0.3091738519627715,kshape,not_applicable,geometric,30,3day,0.0173781116940697,1.3374,0.8828459412326821,0.8438054524264672,0.8633256968295746,0.21775859671696,0.2503240806514544,0.5055877740654567,0.5411895097432955,0.5233886419043761,0.0,0.0,0.0,0.0
119,4,0.1993680521908629,kshape,not_applicable,geometric,30,3day,0.0138625199422259,1.61,0.7244331208313604,0.805,0.7647165604156803,0.2153576481277414,0.3303362312486572,0.499524334083139,0.7608105797451531,0.630167456914146,0.0,0.0,0.0,0.0
120,5,0.2499507611686507,kshape,not_applicable,geometric,30,3day,0.0112528392526085,2.0242,0.7974069492571387,0.8717754888521623,0.8345912190546505,0.1538332946171554,0.3440278266927088,0.34414856858882137,0.7983919073186716,0.5712702379537464,0.0,0.0,0.0,0.0
121,6,0.1998847214594154,kshape,not_applicable,geometric,30,3day,0.0098580571979351,2.0598,0.7251785007312939,0.7968394123417089,0.7610089565365014,0.1889253199198287,0.4174775056014621,0.4327712030909566,1.0,0.7163856015454784,0.0,0.0,0.0,0.0
126,2,0.3034340616121311,kshape,not_applicable,geometric,30,full,0.0308543385256672,0.5349,0.8745653551448256,0.5349,0.7047326775724128,0.3307893461212253,0.2667343919185886,0.7910396026663427,0.5862332948765694,0.688636448771456,0.0,0.0,0.0,0.0
144,2,0.2375542458855365,kshape,not_applicable,geometric,60,3day,0.0427149904805354,0.839,0.7795229490201258,0.839,0.8092614745100628,0.0961256025253787,0.0882752277543582,0.19841153403180797,0.09639028612290088,0.14740091007735442,0.0,0.0,0.0,0.0
145,3,0.1893455866298453,kshape,not_applicable,geometric,60,3day,0.033229374038302,1.1835,0.7099740754968344,0.7467053633518199,0.7283397194243272,0.1024989974445588,0.1661026296685143,0.21450712964330534,0.3100145563902862,0.26226084301679575,0.0,0.0,0.0,0.0
147,5,0.2137310473161315,kshape,not_applicable,geometric,60,3day,0.0226162997244109,2.1622,0.7451540897777231,0.9312088538662904,0.8381814718220069,0.1071517493177634,0.2800041020612876,0.2262573528102972,0.6226566120652958,0.4244569824377965,0.0,0.0,0.0,0.0
148,6,0.2104914285710837,kshape,not_applicable,geometric,60,3day,0.0132072080109394,2.3494,0.7404804100313522,0.908871985316832,0.8246761976740922,0.1093224848118829,0.3221735987685254,0.23173940454817485,0.738405406706583,0.4850724056273789,0.0,0.0,0.0,0.0
149,7,0.2445370078026121,kshape,not_applicable,geometric,60,3day,0.0107197787269384,2.385,0.7895967248295331,0.8495541412526328,0.8195754330410829,0.091269344574228,0.3599954801915717,0.1861473694604878,0.8422206648344304,0.5141840171474591,0.0,0.0,0.0,0.0
153,2,0.3774552142083076,kshape,not_applicable,geometric,60,full,0.021792777955129,0.5349,0.98135297088529,0.5349,0.758126485442645,0.3738425479256395,0.2996559204350097,0.8997676722134886,0.6765978365731381,0.7881827543933133,0.0,0.0,0.0,0.0
154,3,0.1994509360989283,kshape,not_applicable,geometric,60,full,0.0170061762400443,1.3146,0.724552694421005,0.8294202540450379,0.7769864742330215,0.1688594751910176,0.2246440142535432,0.3820962133164977,0.47070166985982187,0.4263989415881598,0.0,0.0,0.0,0.0
